anti90 anti92 anti94 black childage gender hispanic married momage momwork pov90 pov92 pov94 self90 self92 self94
0 0 0 0 8.3333333333 0 0 0 22 0 0 0 0 23 23 24
1 1 0 0 8.5833333333 1 0 0 24 0 0 0 0 21 23 24
4 3 3 1 9.5833333333 0 0 0 20 1 0 0 0 20 23 23
1 0 0 0 8 1 0 0 23 1 0 0 1 21 22 24
1 2 2 1 8.1666666667 0 0 1 24 0 0 1 1 18 24 22
0 0 5 1 9.5 1 0 1 19 0 1 1 0 18 24 16
0 0 0 0 8.3333333333 0 0 0 23 0 0 0 0 23 23 24
4 4 3 0 9.25 1 0 0 20 0 1 1 1 24 18 16
0 0 0 0 9.8333333333 0 0 0 22 0 0 0 0 20 18 18
2 0 5 0 9.3333333333 1 1 0 22 1 1 1 1 20 24 18
0 0 0 0 8.8333333333 0 0 0 24 0 0 0 0 22 24 19
0 0 0 0 9.6666666667 1 1 1 23 1 1 1 0 18 21 16
1 0 0 0 8.4166666667 0 1 1 24 1 1 1 0 17 23 24
1 3 4 0 9.8333333333 0 0 0 18 0 0 0 0 22 20 17
1 0 3 0 8.75 0 0 0 23 0 0 0 0 23 21 22
3 4 6 1 9.75 0 0 0 23 0 1 1 0 23 22 19
0 1 0 1 8.0833333333 1 0 0 17 1 1 0 0 23 24 24
2 3 4 0 8.1666666667 0 0 0 19 0 0 0 0 21 24 20
1 1 4 0 8.1666666667 1 0 1 19 0 0 0 0 21 23 18
4 2 5 0 8.4166666667 1 0 0 23 1 0 0 0 22 24 24
0 1 0 1 9.6666666667 0 0 1 17 0 0 0 1 20 23 20
0 0 0 1 8.1666666667 0 0 1 18 0 0 0 1 21 22 23
2 4 3 1 8 1 0 0 24 0 1 1 1 24 24 24
0 1 1 0 8.6666666667 1 0 0 25 0 0 0 0 23 21 20
1 0 0 0 9.9166666667 0 0 0 22 0 0 0 0 19 24 24
3 4 4 0 9.25 1 0 0 19 0 0 0 0 21 20 16
1 3 2 1 8.8333333333 0 0 0 22 0 0 0 0 20 19 10
1 0 0 0 9.5833333333 1 0 0 17 0 0 0 0 19 19 16
0 1 0 0 9.0833333333 1 0 0 23 1 0 0 0 16 19 14
2 4 3 0 8.0833333333 0 0 0 22 0 0 0 0 20 21 20
4 3 3 0 9.9166666667 0 0 0 21 1 1 0 0 22 21 23
4 2 5 0 9.6666666667 0 0 0 20 1 0 0 0 22 24 24
1 1 2 0 9.75 1 0 0 22 0 0 0 0 18 21 16
0 0 1 0 9.1666666667 1 0 0 21 0 0 0 0 21 19 23
3 1 3 0 9.5833333333 0 0 0 20 1 1 1 1 19 22 17
0 0 2 0 9.4166666667 0 0 0 19 0 0 0 0 17 19 18
3 2 3 1 8.4166666667 0 0 0 21 0 1 1 1 23 24 24
0 0 1 0 9.5833333333 0 1 1 21 0 1 1 1 24 24 20
0 0 2 0 8.6666666667 1 1 1 22 0 1 1 1 16 24 18
2 3 1 0 9 0 0 0 21 0 0 0 0 19 20 23
0 0 2 0 8.9166666667 0 0 0 22 0 0 0 0 22 24 24
4 3 3 0 9.3333333333 0 0 0 23 0 1 0 1 18 21 22
0 0 0 0 8.4166666667 1 0 0 20 0 0 0 0 24 24 21
0 0 0 0 9.9166666667 0 0 0 23 1 0 0 0 24 24 24
3 2 2 1 8.5833333333 1 0 0 23 0 1 1 1 18 19 24
1 1 1 1 9 0 0 1 20 0 1 1 0 18 19 19
0 2 0 0 9.5 0 0 0 19 0 0 0 0 16 19 15
3 0 3 0 8.5 1 0 0 22 0 0 0 0 17 23 23
4 3 3 0 10 1 0 1 20 1 1 0 0 17 15 21
2 1 2 1 9 0 0 0 23 1 0 1 1 21 19 19
4 4 3 1 8.4166666667 0 0 0 22 1 0 0 0 15 24 21
6 5 0 0 8.5 0 0 1 23 0 0 0 0 20 11 12
2 0 0 1 8.8333333333 0 0 1 22 0 0 0 0 21 23 24
1 1 1 0 9.0833333333 0 0 1 19 0 0 0 1 24 19 20
0 0 0 0 9.6666666667 0 0 0 23 1 0 0 0 22 24 22
5 3 4 0 8.8333333333 0 0 0 18 0 0 0 0 22 22 21
0 2 1 0 8.9166666667 0 0 0 23 1 0 0 0 22 22 24
0 0 0 1 8.1666666667 0 0 0 23 0 0 0 0 19 20 22
0 2 0 1 9.3333333333 1 0 0 19 0 0 0 0 21 22 23
2 2 0 1 9.75 0 0 0 23 1 1 1 1 17 19 20
3 3 4 1 9.9166666667 1 0 0 17 0 1 1 1 20 21 15
2 0 1 0 9.4166666667 1 0 0 19 0 0 0 0 24 22 22
1 0 0 0 9.75 1 0 0 23 0 0 0 0 17 12 16
0 0 1 0 8.5 1 0 0 21 1 0 0 0 19 22 24
0 0 1 0 8.1666666667 0 0 1 23 0 0 0 0 17 17 24
1 1 2 1 9 1 0 0 21 0 0 0 1 23 19 15
0 0 0 0 9.0833333333 0 1 1 18 0 1 1 1 16 23 20
3 2 1 0 9.0833333333 0 0 0 23 1 0 1 1 24 24 23
3 5 4 1 9.9166666667 0 0 0 19 1 0 0 0 24 15 24
1 1 1 1 8.1666666667 0 0 0 21 1 0 0 0 17 24 23
0 0 1 0 8.5 1 0 0 24 0 0 0 0 22 23 24
2 3 3 0 9.1666666667 0 0 0 20 1 0 0 0 18 21 19
3 4 2 0 8.0833333333 0 0 0 21 1 0 0 0 16 22 22
0 2 2 0 9.8333333333 1 0 0 22 0 0 0 1 23 23 15
0 2 3 0 8.4166666667 0 0 0 24 0 0 0 1 24 24 17
1 2 1 0 9.0833333333 0 0 1 22 0 1 0 0 20 22 20
1 4 3 0 9.3333333333 0 1 1 23 1 1 1 1 22 20 19
1 0 4 0 9.6666666667 0 0 0 19 1 0 0 0 24 22 21
2 3 2 0 8.4166666667 0 0 0 20 0 0 0 0 21 22 23
0 2 6 0 8.5 1 0 0 22 1 1 1 1 20 22 19
1 2 6 0 8.5 1 0 0 22 1 1 1 1 23 17 16
5 4 6 1 9.8333333333 0 0 1 20 0 1 1 1 19 24 16
4 4 2 0 9.1666666667 0 1 1 20 0 1 0 0 19 21 21
2 1 1 0 10 0 1 0 17 0 0 0 0 20 12 13
2 1 4 0 9.5833333333 0 0 0 21 0 0 0 0 20 17 20
4 3 6 0 8.25 1 0 1 21 0 1 1 1 20 24 21
2 4 1 0 9.8333333333 0 0 0 21 0 0 0 0 24 23 21
2 2 1 0 9.0833333333 1 0 0 21 0 0 0 0 21 19 17
1 0 0 1 8.8333333333 0 0 0 21 0 0 0 0 20 20 20
3 3 3 0 10 0 0 0 20 0 0 0 0 13 24 22
2 2 1 0 8.4166666667 1 0 0 22 0 0 0 0 22 22 19
6 3 3 0 8 1 0 1 20 1 1 1 0 14 20 20
0 0 0 0 9.1666666667 0 0 0 23 0 0 0 0 21 22 24
0 0 1 0 8.75 1 0 1 20 0 0 0 0 14 21 18
1 1 1 0 8.3333333333 1 0 0 19 0 1 0 0 21 18 18
0 0 0 0 9.6666666667 1 0 1 17 0 1 1 1 21 22 23
1 0 1 0 8 1 0 0 21 0 0 0 1 18 8 11
0 1 1 0 8.1666666667 0 0 0 19 0 0 0 1 24 23 20
0 2 3 0 8.4166666667 1 0 0 20 1 0 0 0 17 16 17
3 3 5 0 9.3333333333 1 0 0 20 1 0 0 1 18 23 12
2 0 0 0 8.5833333333 1 0 1 23 0 0 0 0 22 24 20
3 4 3 1 9.75 1 0 0 21 0 0 0 0 20 19 23
0 0 0 0 8.4166666667 1 0 0 21 0 0 0 0 19 24 22
0 0 0 0 8.8333333333 0 0 0 24 0 0 0 0 23 24 24
1 1 1 0 8.0833333333 1 0 0 22 0 0 0 0 18 23 20
2 1 0 0 8.1666666667 1 0 0 25 1 0 0 1 22 18 22
0 1 3 0 9.1666666667 0 0 0 17 0 1 0 0 24 24 24
0 0 1 0 8 1 0 0 18 0 1 0 0 23 24 22
0 1 0 0 9.3333333333 1 0 0 22 0 0 0 0 24 24 24
3 1 1 0 8.4166666667 1 0 1 20 0 0 0 0 15 21 21
1 2 5 0 9.75 0 0 0 23 0 0 0 0 24 24 24
3 2 1 0 8.9166666667 0 0 1 23 0 1 0 0 21 24 22
2 5 4 0 8.0833333333 0 0 0 19 0 0 0 0 21 19 23
0 1 0 0 8.0833333333 1 0 0 25 1 0 0 0 23 21 23
0 0 0 0 9.6666666667 1 0 0 22 1 0 0 0 20 23 23
1 3 2 0 9.25 0 1 0 19 0 0 0 0 15 19 22
4 3 2 0 8.0833333333 0 1 0 20 0 0 0 0 15 11 24
0 0 0 0 9.75 1 0 0 18 1 1 1 0 21 19 20
1 0 0 0 9.8333333333 0 0 0 20 0 1 1 0 24 22 22
1 1 1 0 9.75 1 0 0 18 0 0 0 0 22 21 21
0 1 1 0 9.75 1 0 0 22 1 0 0 0 14 19 18
2 0 0 0 9.5 1 0 0 23 1 0 0 0 20 23 23
6 5 6 0 8.6666666667 0 0 0 23 0 1 1 1 24 24 23
2 1 1 0 9 0 0 0 22 0 0 0 0 23 24 24
4 3 3 0 8.1666666667 0 0 0 20 0 0 0 0 22 17 24
1 1 1 0 9.25 0 0 0 20 1 0 0 0 21 23 24
1 1 0 0 9.9166666667 0 0 0 23 0 0 0 0 20 15 16
3 3 3 0 10 0 0 0 20 0 0 0 0 24 24 20
2 1 1 0 8.5 0 0 0 17 0 0 1 1 16 21 21
3 3 5 0 9.5 0 0 0 19 1 1 1 1 24 24 24
0 2 0 0 9.3333333333 1 0 0 19 0 0 0 0 24 24 24
2 0 1 0 8.25 1 0 0 22 0 0 0 0 24 18 22
3 3 1 1 8 0 0 0 20 0 0 1 1 19 24 24
1 1 1 0 9.6666666667 0 0 0 23 0 0 0 0 18 22 20
1 0 0 0 9.0833333333 1 0 0 24 0 0 0 0 15 19 18
0 0 1 0 9 1 0 0 23 0 0 0 0 21 24 18
0 0 0 0 8 0 0 0 24 0 0 0 0 21 20 18
3 0 1 0 8.5833333333 1 0 0 22 1 0 0 0 20 20 17
2 4 5 1 8.1666666667 1 0 0 17 0 0 1 0 17 14 18
0 0 2 0 8.5833333333 0 0 0 19 0 0 0 0 14 19 23
0 0 2 0 8.5833333333 1 0 1 19 0 1 1 1 23 24 19
1 0 1 0 9.5833333333 1 0 1 21 0 0 0 0 14 24 12
2 2 3 0 9.25 1 0 0 21 0 0 0 0 23 24 14
2 3 3 0 9 0 0 0 18 1 0 0 0 24 23 17
1 1 0 0 8.8333333333 0 1 0 21 0 0 0 0 13 18 23
1 6 4 0 9.5833333333 1 1 0 19 0 1 1 0 17 23 22
1 1 0 0 8.1666666667 1 1 0 19 0 1 1 0 18 23 23
1 0 0 0 9.9166666667 0 1 0 19 0 1 1 0 16 23 24
4 5 3 0 8 0 1 0 21 0 1 1 0 12 24 24
0 1 4 0 8.75 0 1 0 23 0 0 0 1 21 20 22
3 3 4 0 9 1 1 1 22 0 0 0 1 12 16 22
0 0 0 0 8.4166666667 1 1 0 22 1 0 0 0 17 18 24
1 3 3 0 8.5 0 1 0 24 0 0 0 0 24 19 24
4 4 6 0 8.25 0 1 0 19 1 0 0 0 22 24 21
2 0 2 0 8.1666666667 0 1 0 19 1 0 0 0 14 20 20
0 0 0 0 8.8333333333 1 1 0 19 0 0 0 0 24 20 24
2 0 0 1 8 0 0 0 20 0 0 0 0 24 20 19
2 3 3 1 9.3333333333 1 0 0 22 1 0 0 1 22 16 22
5 4 6 1 10 0 0 0 18 0 1 0 1 24 22 15
0 0 0 1 8.6666666667 1 0 0 19 0 0 1 0 21 23 21
2 3 0 1 9.25 0 0 0 19 0 1 1 1 17 21 24
1 2 2 1 9.25 1 0 0 23 1 1 1 1 24 20 23
1 1 1 1 8.25 1 0 0 20 1 1 1 1 20 23 19
1 0 0 1 9.9166666667 0 0 1 17 1 1 1 1 23 20 23
3 2 1 1 9 0 0 0 20 1 1 1 1 21 19 24
1 0 1 0 9.8333333333 0 1 0 21 0 0 0 0 21 24 19
1 2 0 0 8 1 1 0 23 0 0 0 0 22 17 15
1 3 2 1 9.5833333333 0 0 0 19 0 1 1 0 21 23 19
2 2 4 1 8.0833333333 0 0 0 21 0 1 1 0 21 21 18
1 3 2 1 8.3333333333 0 0 0 19 0 1 0 0 18 14 18
1 2 2 1 9.0833333333 1 0 1 20 1 1 1 0 15 17 21
1 1 2 1 8.5833333333 1 0 0 21 1 0 0 0 24 23 24
0 1 2 1 9.3333333333 0 0 0 23 0 0 0 0 22 23 24
0 2 2 1 8 1 0 0 18 1 0 0 0 18 22 19
3 1 4 1 8.8333333333 0 0 1 23 0 1 0 1 19 23 22
2 0 1 1 8.6666666667 1 0 1 21 0 1 1 1 14 18 24
5 5 6 1 9.1666666667 0 0 0 19 0 1 0 1 15 18 19
2 0 1 1 9.8333333333 1 0 1 23 0 1 0 0 22 22 21
0 0 0 1 8.8333333333 0 0 1 24 0 1 0 0 12 23 24
1 4 4 1 9.8333333333 0 0 1 22 0 0 0 1 18 22 20
0 1 1 1 8 0 0 0 21 0 0 0 0 19 19 20
3 2 2 1 8.1666666667 1 0 1 21 0 1 0 1 18 17 13
4 4 2 1 9 1 0 0 23 0 0 0 0 18 21 14
1 0 1 1 9.1666666667 1 0 0 20 0 0 0 0 20 23 23
0 4 0 1 9.3333333333 1 0 1 17 0 1 1 0 21 13 23
1 1 5 1 9.8333333333 1 0 0 19 0 1 1 1 16 22 22
5 6 4 1 9.25 1 0 0 23 0 0 0 1 17 14 20
2 2 3 1 8.3333333333 0 0 0 24 0 0 0 1 22 21 19
2 2 5 1 10 0 0 1 18 0 1 1 1 19 23 20
2 1 2 1 9.75 1 0 0 19 0 1 1 0 21 24 23
1 1 0 1 8.25 1 0 0 22 0 0 0 0 21 20 24
1 4 2 1 9.1666666667 0 0 1 20 0 1 0 1 18 11 22
0 1 1 1 9.6666666667 1 0 0 18 0 0 1 0 18 20 19
3 4 4 1 8.75 0 0 1 19 0 1 1 0 18 16 12
3 2 2 1 9 1 0 0 17 1 1 1 1 17 23 24
3 1 2 1 8.1666666667 1 0 0 22 1 1 1 1 24 21 13
3 6 6 1 9.6666666667 0 0 0 22 1 0 1 1 21 20 24
3 0 0 1 8.5833333333 0 0 0 22 1 1 1 1 20 24 24
1 1 0 1 8.0833333333 0 0 1 19 0 1 0 0 21 18 22
0 1 1 1 8.3333333333 1 0 0 21 1 1 1 1 20 24 18
1 0 0 1 9.8333333333 0 0 0 16 0 0 1 1 24 24 23
2 2 2 1 8.75 0 0 0 18 0 0 1 0 17 24 23
2 1 2 1 8.0833333333 0 0 0 23 0 0 0 1 24 24 24
2 0 0 1 9.0833333333 0 0 0 20 1 1 1 1 21 18 21
1 0 0 1 8.5833333333 1 0 0 18 0 0 0 0 14 18 16
5 4 2 1 9.6666666667 0 0 0 18 0 1 1 1 20 20 20
4 6 2 1 8.75 1 0 1 22 1 1 1 1 15 18 20
0 2 2 1 8.5 1 0 1 23 0 1 1 1 23 18 21
3 1 4 1 9.1666666667 0 0 0 17 0 0 0 1 14 23 21
1 0 0 0 8.8333333333 1 1 1 23 0 1 0 0 18 15 14
2 1 0 1 8.9166666667 1 0 1 22 1 1 1 1 18 21 21
2 3 2 0 8 0 1 1 19 1 0 0 0 22 24 23
0 5 3 1 9.5 0 0 0 20 0 1 0 0 19 18 18
1 0 1 0 9.1666666667 1 1 1 21 0 1 1 0 17 16 17
0 0 0 0 8.25 1 1 0 24 0 0 0 0 12 18 21
0 1 0 1 9.0833333333 1 0 1 22 0 0 0 0 14 12 16
2 1 0 1 8.3333333333 0 0 0 18 1 1 1 1 23 23 19
1 1 1 1 9.4166666667 1 0 0 20 1 1 1 1 21 23 22
1 2 3 0 8.75 1 1 0 21 1 1 1 1 24 21 22
1 1 2 1 8.6666666667 1 0 0 23 0 0 0 0 22 23 23
2 1 1 1 9.75 1 0 0 20 0 0 1 1 17 18 24
5 3 5 1 8.3333333333 0 0 0 21 0 0 1 1 20 23 24
2 6 3 1 8.25 1 0 0 24 0 0 0 1 24 12 17
1 0 0 1 8.9166666667 0 0 1 21 0 0 0 0 21 22 21
0 0 0 1 8.9166666667 0 0 1 23 0 0 0 0 17 18 22
0 1 1 1 8.9166666667 1 0 0 22 0 1 0 0 23 24 24
2 3 0 1 9.0833333333 0 0 0 21 0 1 1 1 21 21 24
0 0 2 1 9.1666666667 1 0 0 19 0 0 0 0 22 23 24
1 3 2 0 9.9166666667 1 1 1 17 1 1 1 0 24 19 21
4 3 3 1 8.25 0 0 1 20 0 0 0 1 18 21 21
1 3 1 1 8.6666666667 1 0 0 19 1 1 1 1 18 24 23
5 5 4 1 9.3333333333 1 0 1 21 1 1 1 1 20 17 19
5 5 6 1 8 1 0 1 22 1 1 1 1 23 21 16
4 5 6 1 9.5 0 0 1 23 0 1 1 0 17 22 20
4 6 3 1 8.1666666667 0 0 0 19 1 1 1 1 20 23 17
0 1 0 1 9.25 0 0 0 18 0 1 1 1 23 24 24
1 2 2 1 8.3333333333 1 0 0 17 0 1 1 1 16 23 24
5 2 2 1 9.0833333333 0 0 0 22 0 0 0 1 20 23 22
