lwage1 lwage2 lwage3 lwage4 lwage5 mar1 mar2 mar3 mar4 mar5 male edu1 edu2 edu3 edu4 edu5 urb1 urb2 urb3 urb4 urb5
1.3217559 1.3811022 1.7151011 1.7008277 1.7426214 0 0 0 0 0 1 12 12 12 12 12 1 1 1 0 1
1.2809339 1.2929949 1.309636 1.307484 1.6625787 0 0 0 0 0 1 11 12 12 12 12 1 1 1 1 1
1.6094379 1.6663717 1.8649569 1.7909508 1.9185121 0 0 0 0 0 0 12 12 12 12 12 1 1 1 1 1
1.5706971 1.7563978 1.7151011 1.9588046 2.0049856 0 0 0 0 0 0 16 16 16 16 16 1 1 1 1 1
1.3862944 1.3442882 1.309636 1.503764 1.5846171 0 1 1 1 1 0 12 12 12 12 12 1 1 1 1 1
1.9344158 1.9848254 1.9180419 2.1789286 2.2786648 1 1 1 1 1 1 16 16 16 16 16 1 1 1 1 1
1.3217559 1.252721 1.5327796 2.1869607 1.8167294 0 0 0 0 0 1 12 12 12 12 12 1 1 1 1 1
1.6428727 2.1552184 2.3795059 2.3701153 2.4548168 0 0 0 0 1 1 14 14 14 14 14 1 1 1 1 1
1.6094379 1.1669542 1.6280898 1.7804952 2.0680437 0 0 0 0 0 1 12 12 13 13 13 1 1 1 1 1
1.7369512 1.8645689 1.8194611 1.7169572 2.3909321 0 0 0 0 0 1 12 12 12 12 12 1 0 0 0 1
1.446919 1.5161384 1.6280898 1.7008277 2.0856655 0 0 0 0 0 1 14 14 15 15 16 1 1 1 1 1
2.7113781 2.0424228 2.535615 2.9360156 3.0063136 1 1 1 1 0 1 12 12 12 12 12 1 1 1 1 1
1.4134231 1.7464144 1.268814 1.9650664 1.805235 0 0 0 1 1 1 12 12 12 12 12 1 1 1 1 1
.88789129 1.2472265 1.5603946 1.4938136 1.7034007 0 0 0 0 0 0 14 15 16 16 16 0 0 0 1 1
1.9657128 1.1963681 1.2583427 1.7561778 1.8167294 0 0 0 0 0 0 16 16 16 16 16 1 1 1 1 1
1.8325815 1.9237065 1.755923 2.3692825 .95262438 1 1 1 1 1 1 12 12 12 12 12 1 1 1 1 1
1.6094379 1.7106658 1.6207905 1.9242965 1.3317572 1 0 0 0 0 1 11 11 11 11 11 0 0 0 0 0
1.9035989 1.9513327 1.9382447 1.9242965 1.8655195 0 0 0 0 1 0 16 16 16 16 16 1 1 1 1 1
2.0228713 2.1717477 2.0634079 1.9982187 2.2804635 0 0 0 1 1 1 12 12 12 12 12 1 1 1 1 1
1.4350845 1.5674317 2.1861458 2.1959205 2.0283785 0 0 0 0 0 1 12 13 13 13 13 1 1 1 1 1
1.9065752 1.9662079 1.8988106 1.9550287 1.9858692 0 1 1 1 1 0 14 14 14 14 14 1 1 0 0 1
1.2527629 1.6462429 1.4274191 1.6107073 1.91074 0 0 0 0 0 1 12 12 12 12 12 1 1 1 1 1
1.3862944 1.2444679 1.5327796 1.6107073 1.6625787 0 1 1 1 1 1 8 8 8 8 8 0 0 0 0 0
1.3480731 1.2797496 1.4340637 1.5483018 1.5535077 0 0 1 0 1 1 8 8 8 8 8 1 1 1 1 1
1.2089603 1.1817694 1.8692518 1.2631418 1.4802572 0 0 0 0 0 1 12 13 13 13 13 0 0 0 1 0
2.010895 2.0523241 2.1533561 2.1143901 2.3565588 1 1 1 1 1 1 12 12 12 12 12 0 0 0 0 0
1.5892352 1.8495986 1.9774654 2.1335599 2.1823642 0 0 0 1 1 1 12 12 12 12 12 0 0 0 0 0
2.070653 2.1027548 2.3604577 2.3625934 2.5394354 1 1 1 1 1 1 17 17 17 17 17 1 1 1 1 1
2.1575594 2.1804528 2.3914411 2.0959413 2.2174213 0 0 0 1 1 0 16 16 16 16 16 1 1 1 1 1
1.3217559 1.8601013 1.8505057 2.4291222 2.5055816 0 0 0 0 0 1 14 15 15 16 16 1 1 1 1 1
1.2383742 1.1817694 2.0152056 2.0442445 2.3235469 1 1 1 1 1 1 12 12 12 12 12 1 1 1 1 1
1.2089603 1.5055563 2.1205664 1.6405079 1.6200191 0 0 0 0 0 1 12 12 12 12 12 1 1 1 1 1
1.2237755 1.0958267 1.1323019 1.2706701 .84159821 0 0 0 0 0 1 12 12 12 12 12 0 0 0 0 1
1.446919 1.274402 1.4814863 1.41909 1.684014 0 0 0 1 1 1 12 12 12 12 12 0 0 0 1 1
1.5892352 1.6350904 1.7151011 1.4938136 1.8462882 0 1 1 1 1 1 13 14 14 15 15 0 0 0 0 0
1.1939224 1.4576169 1.7951438 1.2193767 1.717698 0 0 0 1 1 0 12 14 14 14 14 1 1 1 1 1
1.8213183 1.7089313 1.5327796 1.4938136 2.1221111 1 1 1 0 0 1 12 12 12 12 12 1 1 1 1 1
2.5257287 2.1552184 1.7283463 2.2423954 2.4434314 0 0 0 0 0 1 15 16 16 16 16 1 1 1 1 1
1.5912739 2.5532484 2.6959305 2.8288147 2.9038472 1 1 1 1 1 1 12 12 12 12 12 1 1 1 1 1
1.7917595 1.3442882 1.2714148 1.1227499 1.2188923 1 1 1 0 0 0 15 16 16 16 16 1 1 1 1 1
.49469623 1.1669542 1.6280898 1.7073108 1.830914 0 0 0 0 0 1 16 16 16 16 16 0 0 0 0 0
1.166271 1.2107568 1.3343287 1.9638172 1.9502608 0 0 1 1 1 0 13 13 13 13 13 1 1 1 1 1
1.6094379 1.4327569 1.5327796 1.4938136 1.7426214 0 0 0 0 0 1 12 12 12 12 12 1 1 1 1 1
1.0402766 1.4620713 1.309636 1.3312947 2.2335582 0 0 0 0 0 1 14 15 16 16 16 1 1 1 1 1
1.3862944 1.1669542 1.1323019 3.1032515 1.3200884 0 0 0 0 0 0 12 13 14 14 15 1 1 1 1 1
1.8809906 1.62192 1.8890544 2.0114162 1.6077704 0 0 0 0 1 0 16 16 16 16 16 0 0 0 1 1
2.2512918 2.2092855 2.2794676 2.5248606 2.3565588 0 0 0 0 0 1 16 16 16 16 16 1 1 1 1 1
1.7664417 1.8526107 1.8299168 1.993376 1.9287817 0 0 0 0 0 1 16 16 16 16 16 1 1 1 1 1
1.6094379 1.7244354 1.3935175 1.6422336 1.8167294 1 1 1 1 1 0 12 12 12 12 12 1 1 1 1 0
1.975469 2.0056868 2.0762661 2.484098 2.2732496 1 1 1 1 1 0 12 12 12 12 12 1 1 1 1 1
2.0149031 2.0374353 2.631392 2.3701153 2.8020129 0 0 0 0 1 1 12 13 13 14 14 1 1 1 1 1
1.6620303 1.6717918 1.6708008 1.7169572 1.6474651 1 1 1 1 1 0 9 9 9 9 9 1 1 1 1 1
1.8325815 1.812728 1.8649569 1.8992788 1.8857223 1 1 1 1 1 0 12 12 12 12 12 1 1 1 1 1
2.3272777 2.2695386 2.2991772 2.5198553 2.5098765 0 0 0 0 0 0 16 16 16 16 16 1 1 1 0 1
1.0188473 1.3112483 1.755923 1.9320686 2.2288389 0 0 0 0 0 1 16 16 16 16 16 1 1 1 1 1
-.051293306 .062353875 .61648881 1.1198472 -.60721654 0 0 0 0 0 0 9 9 9 9 9 1 1 1 1 1
1.3862944 1.4620713 1.5327796 1.5520825 1.7426214 0 0 0 0 0 0 12 12 13 14 14 1 1 1 1 1
1.2669476 1.0192504 1.5327796 1.2453523 1.3925182 0 0 0 0 0 0 10 10 10 10 10 1 1 1 1 1
1.0647107 1.2929949 1.1902893 1.4654142 1.4802572 0 0 0 0 0 1 12 12 12 12 12 1 1 1 1 1
1.8309802 1.8511058 1.1323019 .51031411 .56396639 0 1 1 1 1 0 12 12 12 12 12 1 1 1 1 0
1.6094379 1.6425393 1.7151011 1.7561778 1.8109987 1 0 0 0 0 0 8 8 8 8 8 1 1 1 1 1
1.6389967 2.068207 2.0491896 2.0904498 2.1734042 0 0 0 0 0 0 16 16 16 16 16 1 1 1 1 1
1.2089603 1.4796928 1.3842795 2.2165196 2.3565588 0 0 0 0 0 0 14 15 15 16 16 1 1 1 1 1
1.8718022 1.9389954 2.0634079 2.2357509 2.3738933 1 1 1 1 1 1 12 12 12 12 12 0 0 0 0 0
1.9987737 2.2605789 2.4490702 2.5155449 2.5303793 0 0 0 0 1 1 17 18 19 19 19 1 1 1 0 1
1.8900954 1.8763859 2.0809009 2.2868061 2.3218243 1 1 1 1 1 1 14 14 14 14 14 0 0 0 0 1
1.508512 1.7497534 2.0634079 1.9638172 2.2687144 0 0 0 0 0 1 12 12 12 12 12 1 1 1 1 1
2.1400661 2.2249517 2.3613315 2.4101043 2.5191195 0 0 0 0 0 0 14 14 14 14 14 1 1 1 1 1
1.975469 1.7744459 2.368294 2.1959205 2.3965478 0 1 1 1 1 1 13 13 13 13 13 1 1 0 0 0
1.658228 .75098634 1.6171207 1.8570669 1.853199 0 0 0 1 1 0 17 18 18 18 18 1 1 1 1 1
1.446919 1.5872343 2.0992291 1.6370478 2.3235469 0 0 0 0 0 1 14 15 15 15 15 1 1 1 1 1
1.6601311 2.221838 1.4274191 1.6959378 1.5290473 0 0 0 0 1 1 12 12 12 12 12 1 1 1 1 1
1.5432981 1.9458681 1.755923 1.1513232 1.6675662 1 1 1 1 1 0 16 16 16 16 16 1 1 1 1 1
1.9198595 2.0374353 2.1490457 2.2868061 1.9515101 0 0 0 0 0 1 8 8 8 8 9 1 1 1 1 1
1.2089603 1.511919 1.6317195 1.6248418 1.6921375 0 0 0 0 0 0 11 11 11 11 11 1 1 1 1 1
1.7404661 2.0706284 2.0395973 2.4101043 1.7049994 1 1 1 0 0 1 12 12 12 12 12 1 0 0 0 0
1.704748 1.5266098 1.8848439 1.8653772 1.9502608 0 1 1 1 1 0 14 14 14 14 14 1 1 1 0 1
1.3862944 2.0374353 .43015921 2.024442 2.0283785 1 0 1 1 0 0 15 15 15 15 15 1 0 0 1 1
1.2089603 1.2797496 1.309636 1.131408 1.5290473 0 0 0 0 1 0 12 12 12 12 12 1 1 0 0 0
1.2499018 1.2824128 1.3245246 1.3568478 1.3726718 0 0 0 0 0 0 14 14 15 15 15 1 1 1 1 1
1.2089603 1.1669542 1.309636 1.3682504 1.3748966 0 0 0 0 0 1 14 14 14 14 14 0 0 0 0 1
1.8325815 2.0133989 2.2506194 2.3980317 2.6038873 0 0 0 0 0 0 17 17 17 18 18 1 0 0 0 1
1.6389967 1.7662826 1.1761047 1.093336 1.9676094 1 1 1 1 1 1 12 12 12 12 12 0 0 1 0 0
2.0149031 2.0778573 2.35344 2.9207699 3.089695 0 0 0 0 0 1 16 16 16 16 16 1 1 1 1 1
1.5040774 1.4620713 1.3702606 2.523433 2.1734042 1 0 0 0 0 1 9 9 9 9 9 1 1 1 1 1
1.6658182 1.7175745 1.8649569 1.7834936 1.8124344 0 0 0 0 1 0 12 12 12 12 12 0 0 0 0 0
1.2669476 1.2797496 1.5084869 2.2859008 1.6303998 0 0 0 0 0 0 14 15 16 16 16 1 1 1 1 1
.91629076 1.1669542 1.575839 1.5330342 2.3235469 0 0 0 0 1 1 15 15 15 15 15 1 1 1 1 1
1.7917595 1.7071937 1.8328842 1.5520825 2.0398729 0 0 0 0 0 1 12 12 12 12 12 1 1 1 0 1
1.6094379 1.5674317 1.9382447 1.9242965 1.8857223 1 1 1 1 1 1 14 15 16 16 16 0 0 1 0 1
1.3862944 1.4840502 1.6189573 1.7714454 1.937682 0 0 0 0 0 1 12 12 12 12 12 1 1 1 1 1
1.9344158 2.0897906 2.5588212 2.3371034 2.6346195 0 0 0 0 0 0 12 12 12 12 12 1 1 1 1 1
2.095561 2.0374353 2.1746335 1.9638172 1.9502608 0 0 0 0 0 1 11 11 11 11 11 1 1 1 1 1
1.3862944 1.5674317 1.5327796 1.2706701 2.1377771 0 0 0 0 0 1 13 14 15 16 17 1 1 1 0 1
1.5368673 1.3442882 1.4709041 1.4319382 1.9502608 0 0 0 0 0 0 7 7 7 7 7 1 1 1 1 1
1.2527629 1.4927082 1.5815697 1.2061316 1.2769163 0 0 1 0 0 1 8 8 8 8 8 0 0 0 0 0
1.2947272 1.308661 1.6585307 1.5999738 1.6200191 0 0 0 1 1 0 11 12 12 12 12 1 1 1 1 1
2.7574751 2.7613542 2.6871419 3.1032515 2.5788693 0 0 0 0 0 1 12 12 12 12 12 1 1 1 1 1
2.7258902 2.5066574 2.4049094 2.0816002 2.928587 0 1 1 1 0 1 12 12 12 12 12 1 1 1 1 1
1.7173951 1.7662826 1.8519603 1.9550287 1.8124344 1 1 1 1 1 0 13 13 13 13 13 1 1 1 1 1
1.6428727 1.7175745 1.894641 2.041935 1.754854 0 0 1 1 0 0 13 13 13 13 13 1 1 1 1 1
2.465554 2.5027404 2.5230639 2.5362082 2.5359619 1 1 1 1 1 0 16 16 16 16 16 1 1 0 0 0
1.9065752 1.9979146 1.9315556 1.7121456 2.2687144 0 0 1 1 1 1 12 12 13 13 14 1 1 1 1 1
1.8531681 1.9237065 1.755923 1.8992788 1.3748966 1 1 0 1 0 0 7 7 7 7 7 0 0 1 1 1
1.3987169 1.4508978 1.5796632 1.6761352 1.7654362 0 0 0 0 0 0 12 12 12 12 12 1 1 1 1 1
2.004179 1.9223051 2.1746335 2.9487007 2.955935 1 1 1 1 1 1 12 12 12 12 12 0 0 0 0 1
1.2089603 1.2107568 1.755923 1.6761352 .91109598 0 0 0 0 0 1 14 14 14 14 14 1 1 1 1 1
.44468579 1.7244354 1.7812009 1.5483018 2.0085297 1 1 1 1 1 0 12 12 12 12 12 1 1 1 1 1
1.2809339 1.5492676 1.7966812 1.7185559 1.7049994 0 0 0 0 1 1 12 12 12 12 12 1 1 1 0 0
2.1690538 2.1880083 2.5588212 1.3568478 .23546237 0 1 1 1 1 0 12 12 12 12 12 1 1 1 1 1
1.3350011 1.3317094 1.4049462 1.2376301 1.2571136 1 1 1 1 1 0 12 12 12 12 12 0 1 1 1 1
.91629076 .99117833 1.2450975 1.3098907 1.4802572 0 0 0 0 0 1 10 10 10 10 10 1 1 1 1 1
1.3350011 1.8571118 1.9736118 2.0361381 2.0225813 0 0 0 0 0 1 12 12 12 12 12 1 1 1 1 1
2.2038691 1.6443928 1.755923 1.8259909 2.1008337 1 1 1 1 1 0 12 12 12 12 12 1 1 1 1 1
1.2089603 1.2107568 1.1323019 1.093336 1.2188923 0 0 0 0 0 0 12 13 14 15 16 1 1 1 1 1
1.329724 1.9728968 2.1349075 2.0959413 2.3200986 0 0 1 1 1 0 16 16 16 16 16 1 1 1 1 1
1.8325815 1.8420286 1.8446664 1.8570669 1.8462882 0 0 0 1 0 1 12 12 12 12 12 1 1 1 1 1
2.0794415 2.0374353 2.0923953 2.0534294 2.1480865 0 0 1 1 1 0 14 14 14 14 14 1 1 1 1 1
1.6094379 1.6843255 2.0027833 2.0090296 2.1008337 1 1 1 0 0 0 12 12 12 12 12 1 1 1 1 1
1.5040774 2.3045957 2.3248668 1.6761352 2.3957477 0 0 0 0 0 1 10 10 12 12 12 1 1 1 1 1
1.6094379 1.5674317 2.0176718 2.0534294 2.4411387 0 0 0 0 0 1 12 12 12 12 12 1 1 1 1 1
1.5727739 1.3442882 1.309636 1.2706701 1.4802572 1 1 0 1 1 0 5 5 5 5 5 1 1 1 1 1
1.6094379 1.7497534 2.0809009 2.3267229 2.5275762 0 0 0 0 1 1 12 12 12 12 12 1 1 1 1 1
1.6956155 1.4620713 1.5720003 1.7561778 1.9502608 0 0 0 0 0 0 13 14 14 14 14 1 1 1 1 1
1.5475625 1.5674317 1.8692518 2.1869607 1.5404111 1 1 1 1 1 0 16 16 16 16 18 1 1 1 1 1
1.5151273 .66109133 1.6280898 1.6422336 1.6217567 0 0 0 0 1 0 13 13 13 13 13 1 1 1 1 1
2.1186621 -.25272718 2.0809009 2.2859008 .044772539 0 0 0 1 1 0 12 12 12 12 12 1 1 1 1 1
1.2029723 1.5674317 1.8692518 1.5891238 1.6625787 0 0 0 0 0 1 12 12 12 12 12 1 1 1 1 1
1.5129271 1.7497534 .9239735 1.8012984 1.9502608 0 0 0 0 0 0 14 15 16 16 16 1 1 1 0 1
1.3217559 2.1270475 1.9787467 2.5585244 2.4357686 0 0 0 0 0 0 13 13 13 13 13 1 1 1 1 1
1.6094379 1.7071937 1.8692518 1.6761352 1.6625787 0 0 0 0 0 1 12 12 12 12 12 1 1 1 1 0
1.3862944 1.3665389 1.7151011 1.4797146 1.1845429 0 0 0 0 1 1 12 12 12 12 12 1 1 1 1 1
1.7491999 1.7563978 1.6496732 1.6353133 1.8923668 1 1 0 0 0 0 10 10 12 12 12 1 1 1 1 1
1.8325815 1.6663717 1.9632624 1.9164636 1.8923668 0 1 1 0 0 0 13 13 14 15 15 1 1 1 1 1
1.446919 .79956096 1.4602089 1.6959378 1.8614296 0 0 0 1 0 0 12 12 12 12 12 1 1 1 0 1
1.9459101 1.255457 1.4602089 1.9945889 2.1902614 0 1 0 0 1 0 13 13 13 13 13 1 1 1 1 1
1.2527629 1.6124051 1.6829221 1.7909508 2.050106 0 0 0 0 1 0 15 16 17 17 17 1 1 1 1 1
1.4678744 2.0374353 1.7951438 2.024442 2.1734042 1 1 0 1 0 1 10 10 10 10 10 1 1 1 1 1
1.3862944 1.3442882 1.309636 1.3499433 1.1925751 0 0 0 0 0 0 12 12 12 12 12 1 1 1 1 1
1.8325815 2.1372807 -.076658361 2.3047438 2.3965478 1 0 0 1 1 0 12 12 12 12 12 1 1 1 1 1
1.8245493 1.8389844 1.8548632 1.7909508 1.7773943 1 1 1 1 1 0 12 12 12 12 12 0 0 0 0 0
1.446919 1.4620713 1.5227292 1.5136162 1.5000597 0 0 0 0 0 1 12 12 12 12 12 0 0 0 0 0
1.178655 1.9403737 2.0634079 1.8992788 1.8857223 0 0 0 0 1 0 12 12 12 12 12 0 0 0 0 0
1.8718022 2.0286469 2.6564097 2.6329279 2.6576805 0 0 0 1 1 1 12 12 12 12 12 0 0 0 0 0
1.4632554 2.0778573 2.0027833 1.5891238 2.1734042 0 0 0 1 1 1 14 14 14 14 14 0 1 1 1 1
1.2527629 .46481144 1.2714148 1.481741 1.3247722 0 0 0 0 0 0 13 14 15 16 16 0 0 0 0 0
1.6094379 1.899609 1.6948984 2.0476987 2.3965478 0 0 0 0 0 0 16 16 16 16 16 1 1 0 0 1
1.474763 1.5012919 1.2894334 1.5744715 1.5460448 0 0 0 0 0 0 12 12 12 12 12 1 1 1 1 1
1.9892433 2.0185072 2.2766199 2.4493251 2.7163098 1 1 1 1 1 1 13 13 13 13 13 0 0 1 1 1
1.0750024 1.2050261 1.5125768 1.5836543 1.6491556 1 1 1 1 1 0 16 16 16 16 16 1 1 0 0 0
1.5040774 1.5161384 1.4793787 2.1869607 2.3730745 0 0 0 0 0 1 14 15 16 17 18 1 1 1 1 1
2.0399208 1.7873702 1.7812009 2.0636625 2.1336234 0 1 1 1 1 1 16 16 16 16 16 1 1 1 1 1
1.0152307 1.0123057 1.2316744 1.3194602 .88242006 1 1 1 1 1 0 12 12 12 12 12 0 0 0 0 0
1.1410331 1.6181248 1.1559019 1.5707747 .78710997 0 0 0 0 1 0 11 11 11 11 11 0 0 0 0 0
1.5040774 1.6162219 1.6041695 1.6335756 1.7065955 0 0 1 1 1 0 16 16 16 16 16 1 1 1 1 1
1.4996231 1.7019626 1.6742791 1.6844339 1.7255535 1 1 1 1 1 0 13 13 13 13 13 0 0 0 0 0
1.5040774 1.6443928 1.7397938 1.9638172 1.9712881 0 1 1 1 1 0 13 14 14 14 14 0 0 0 0 0
1.3737156 1.2797496 1.5327796 1.6694461 1.6217567 0 0 0 0 0 0 17 17 17 17 17 0 0 0 0 0
1.974081 1.7071937 1.8988106 1.9638172 1.8462882 0 0 1 1 1 1 12 12 12 12 12 0 0 0 0 0
.63127178 1.160966 .94218898 1.2830926 .83780313 0 0 0 0 0 1 14 14 14 14 14 0 0 0 0 0
1.3862944 1.1669542 1.309636 1.8302858 1.8857223 0 0 0 0 0 0 14 14 14 14 14 0 0 0 0 0
1.7917595 1.7158518 1.9315556 2.024442 2.2288389 0 0 0 0 0 0 15 15 15 15 15 0 0 0 0 0
1.6094379 1.7695559 1.8635211 1.92819 2.0132356 1 1 1 1 0 0 12 12 12 12 12 0 0 0 0 0
1.6094379 1.2107568 2.2259266 2.1869607 2.1336234 0 1 1 1 1 1 12 12 12 12 12 0 0 0 0 0
2.0943301 1.7905753 1.8692518 1.7561778 1.937682 1 1 1 1 1 1 13 13 13 13 13 0 0 0 0 0
1.1410331 1.0566062 1.1323019 1.8992788 2.198097 0 0 0 0 0 1 13 14 15 16 16 1 1 1 1 1
1.427916 1.5266098 1.4072163 1.4654142 1.4802572 0 0 0 0 1 0 13 13 14 14 14 0 0 0 0 0
1.5151273 1.6162219 1.5815697 1.659328 1.7426214 1 1 0 0 0 0 12 12 12 12 12 0 0 0 0 0
